sample_id	predicted_probability
TW688	0.683832705020905
TW689	0.117966644465923
TW695	0.133134379982948
TW699	0.0512527041137218
TW701	0.0525747314095497
TW703	0.0619791708886623
TW708	0.0512527041137218
TW709	0.115689054131508
TW710	0.0630467906594276
TW714	0.685172140598297
TW722	0.0646775737404823
TW728	0.0531838946044445
TW738	0.103899657726288
TW739	0.0995200350880623
TW743	0.698456943035126
TW745	0.0723504573106766
