P31323
Q8WWI1
O95197
Q9UJ14
Q9UPX0
Q8TAC9
O94910
Q9BRQ6
Q8N608
P20020
Q15773
Q6UXD5
Q7L1I2
P63215
P32418
P53365
Q9Y5K8
Q16720
Q9UIW2
Q9NYI0
