	C3L.00104	C3L.00365	C3L.00674	C3L.00677	C3L.01040	C3L.01043	C3L.01045	C3L.01046	C3L.01048	C3L.01049	C3L.01061	C3L.01142	C3L.01146	C3L.01149	C3L.01154	C3L.01155	C3L.01156	C3L.01157	C3L.01327	C3L.01887	C3L.02465	C3L.02504	C3L.02542	C3L.02642	C3L.02704	C3L.02705	C3L.02707	C3L.02955	C3L.02970	C3L.03260	C3L.03266	C3L.03387	C3L.03390	C3L.03392	C3L.03400	C3L.03405	C3L.03407	C3L.03681	C3L.03727	C3L.03728	C3L.03744	C3L.03748	C3L.03968	C3L.04084	C3N.00661	C3N.00662	C3N.00665	C3N.01192	C3N.01196	C3N.01334	C3N.01364	C3N.01366	C3N.01367	C3N.01368	C3N.01369	C3N.01505	C3N.01515	C3N.01517	C3N.01518	C3N.01798	C3N.01814	C3N.01815	C3N.01816	C3N.01818	C3N.01851	C3N.01852	C3N.01856	C3N.01857	C3N.02181	C3N.02183	C3N.02185	C3N.02186	C3N.02188	C3N.02190	C3N.02255	C3N.02256	C3N.02769	C3N.02770	C3N.02782	C3N.02783	C3N.02784	C3N.02785	C3N.02786	C3N.02788	C3N.03088	C3N.03180	C3N.03182	C3N.03183	C3N.03184	C3N.03186	C3N.03188	C3N.03473
P43235	NA	1.150943396	1.704918033	NA	NA	7.341365462	NA	NA	-0.37987013	9.607619048	NA	1.229813665	2.12195122	0.273622047	1.710769231	NA	-0.153465347	NA	NA	NA	1.896995708	NA	0.200680272	-1.657258065	NA	NA	NA	NA	-3.423236515	-2.994444444	3.174358974	-4.018518519	NA	NA	NA	NA	0.340707965	1.562068966	NA	-1.304932735	NA	4.331775701	NA	NA	NA	NA	NA	2.619512195	NA	NA	0.910614525	NA	3.560483871	NA	2.047794118	3.120437956	NA	NA	NA	4.195121951	-1.055837563	NA	-0.229850746	3.316037736	3.870192308	NA	NA	NA	NA	-2.017857143	2.557894737	-0.388888889	NA	NA	NA	-0.925531915	NA	-1.3	-2.245136187	1.469879518	NA	NA	NA	NA	NA	NA	NA	4.816860465	NA	NA	-4.707423581	-0.91152815
P07711	0.654545455	0.120754717	1.614754098	-0.468330134	-1.489878543	1.919678715	-0.398734177	1.887537994	-0.652597403	0.655238095	-1.710102489	1.776397516	3.597560976	-1.188976378	-1.027692308	1.144680851	-1.930693069	-0.864693446	-0.518867925	-1.848837209	0.060085837	0.547263682	0.176870748	0.516129032	-0.115702479	3.407407407	-2.594059406	0.977859779	-1.414937759	-2.622222222	0.856410256	-0.855555556	-1.885294118	2.851851852	2.388489209	-1.790178571	2.300884956	1.579310345	-1.485576923	-0.125560538	0.961373391	0.855140187	2.215633423	-1.4	1.570621469	-1.358333333	0.358490566	0.6	-0.502525253	5.857142857	2.136871508	-0.27027027	2.899193548	-1.26848249	4.672794118	1.693430657	0.367521368	0.594890511	3.040723982	-1.76097561	-0.649746193	2.218009479	-0.480597015	-1.693396226	3.451923077	-1.355191257	1.775641026	-2.470989761	2.145098039	2.785714286	0.947368421	-0.080246914	-0.40990991	3.138888889	-1.485714286	-0.074468085	1.705394191	-1.661904762	-1.642023346	0.558232932	0.30620155	1.584158416	3.09947644	-0.78807947	1.461971831	1.785953177	0.964114833	0.665697674	-0.787965616	0.60952381	-1.310043668	0.753351206
P43234	-2.054545455	1.645283019	-0.290983607	-1.873320537	-0.518218623	3.401606426	-0.259493671	0.939209726	0.918831169	-0.083809524	0.793557833	0.01863354	1.032520325	-0.903543307	-0.455384615	-0.314893617	-1.153465347	0.272727273	-1.141509434	-1.236434109	0.446351931	2.676616915	-0.421768707	0.572580645	3.095041322	1.740740741	-2.004950495	-0.494464945	-3.024896266	0.111111111	-2.482051282	-1.525925926	-2.5	2.28956229	2.064748201	-0.665178571	-1.287610619	1.448275862	-1.552884615	1.529147982	1.038626609	-0.869158879	-0.134770889	-1.088	0.116760829	-0.670833333	-1.448113208	-0.624390244	-1.77020202	-1.987012987	1.407821229	-3.697933227	2.883064516	0.505836576	0.305147059	0.664233577	2.696581197	0.094890511	0.239819005	-0.12195122	-0.670050761	1.265402844	2.235820896	0.367924528	0.836538462	0.715846995	0.275641026	-0.822525597	1.254901961	1.189285714	3.678947368	0.12962963	1.662162162	-0.699074074	-1.666666667	-1.813829787	0.406639004	0.180952381	-1.739299611	2.907630522	2.395348837	-1.914191419	0.353403141	0.860927152	-0.047887324	0.742474916	0.392344498	2.479651163	0.031518625	-2.176190476	-1.663755459	-0.613941019
P25774	-4.145454545	1.396226415	1.889344262	0.579654511	-2.125506073	6.413654618	0.278481013	4.565349544	1.581168831	0.4	-2.281112738	4.149068323	5.06504065	-1.960629921	-0.181538462	-2.872340426	-0.698019802	-0.33615222	-0.613207547	-1.937984496	4.201716738	-0.606965174	0.537414966	-1.560483871	0.570247934	4.666666667	-1.064356436	1.487084871	-3.170124481	-0.427777778	0.051282051	-1.125925926	-3.411764706	2.202020202	4.003597122	0.227678571	2.738938053	-0.534482759	-3.625	1.677130045	0.922746781	2.191588785	4.188679245	-3.38	0.320150659	-1.775	3.136792453	1.341463415	-0.633838384	-0.961038961	0.955307263	-1.233704293	4.483870968	-1.319066148	4.316176471	3.510948905	5.017094017	4.357664234	0.990950226	-0.907317073	-2.385786802	3.563981043	-0.734328358	-2.141509434	3.879807692	-1.469945355	1.16025641	-3.921501706	2.945098039	4.896428571	-0.910526316	-0.543209877	2.986486486	2.87962963	-1.225396825	0.558510638	-0.012448133	-0.914285714	-0.832684825	2.827309237	-0.821705426	0.772277228	2.267015707	1.413907285	1.135211268	2.357859532	1.555023923	2.912790698	-1.35243553	-1.147619048	-3.165938865	-0.206434316
Q9UBR2	-3.672727273	-0.924528302	3.045081967	0.583493282	-0.417004049	4.81124498	-0.237341772	5.720364742	-1.818181818	3.6	-3.13909224	6.242236025	5.101626016	-1.466535433	-1.673846154	1.05106383	-1.51980198	0.019027484	-2.221698113	-2.658914729	0.669527897	-1.109452736	-0.5	-0.97983871	-0.888429752	3.720164609	-3.579207921	1.575645756	-3.20746888	-0.355555556	0.620512821	-2.462962963	-2.588235294	2.454545455	3.870503597	-0.964285714	5.977876106	1.255172414	1.461538462	1.376681614	1.871244635	0.514018692	6.690026954	-0.5	0.824858757	-0.816666667	0.580188679	6.195121951	-2.267676768	10.62987013	4.117318436	-0.826709062	3.592741935	-2.163424125	3.433823529	3.810218978	4.141025641	5.328467153	4.78280543	1.268292683	-0.730964467	7.639810427	5.820895522	0.589622642	4.586538462	-1.43715847	-1.426282051	-0.672354949	0.870588235	6.317857143	-0.726315789	1.049382716	4.171171171	6.097222222	-0.171428571	-3.771276596	1.278008299	-0.633333333	-1.60311284	2.534136546	3.166666667	-1.514851485	3.314136126	0.149006623	3.036619718	0.424749164	1.490430622	2.200581395	-0.928366762	1.057142857	-0.768558952	-0.54691689
Q14247	-0.981818182	-1.513207547	-0.717213115	-0.149712092	1.55465587	0.618473896	-1.661392405	-1.790273556	-1.600649351	-0.095238095	1.001464129	1.034161491	-0.394308943	-0.846456693	0.006153846	-0.131914894	1.00990099	0.33615222	-1.174528302	0.23255814	0.660944206	1.36318408	-0.333333333	-0.012096774	2.012396694	-0.75308642	-0.326732673	-0.206642066	-2.157676349	0.161111111	-0.230769231	1.133333333	-0.5	1.454545455	0.010791367	-0.334821429	0.880530973	-1.044827586	1.966346154	2.273542601	-0.896995708	2.537383178	-1.002695418	0.384	-0.391713748	-0.183333333	0.179245283	-0.482926829	-0.02020202	0.584415584	1.058659218	2.639109698	-1.314516129	1.077821012	-0.261029412	0.565693431	2.166666667	-0.47810219	-0.14479638	0.307317073	1.416243655	0.521327014	1.008955224	0.693396226	0.769230769	-0.442622951	-3.769230769	-0.436860068	-0.749019608	-0.567857143	-0.173684211	1.913580247	-0.081081081	0.449074074	0.263492063	-0.638297872	-0.473029046	-0.066666667	0.828793774	0.449799197	1.143410853	0.089108911	-1.735602094	0.88410596	1.678873239	0.859531773	-1.193779904	-0.438953488	-1.008595989	0.276190476	0.200873362	1.439678284
Q8WZ74	0.390909091	-1.913207547	0.200819672	-0.806142035	1.178137652	-1.116465863	-1.253164557	-1.711246201	-0.477272727	-1.268571429	-0.840409956	-1.652173913	-1.390243902	0.12992126	-2.793846154	0.876595745	3.396039604	-0.530655391	1.009433962	2.53875969	-0.309012876	1.721393035	0.901360544	0	-2.012396694	-0.230452675	0.955445545	0.424354244	1.037344398	0.016666667	0.584615385	0.674074074	0.129411765	-1.67003367	-2.877697842	2.160714286	-3.07079646	0.3	-0.572115385	-0.390134529	-1.386266094	-1.336448598	0.180592992	0.64	0.65913371	2.041666667	-0.424528302	-0.697560976	0.171717172	-0.928571429	-0.930167598	-2.763116057	-3.576612903	-0.369649805	1.238970588	-0.755474453	1.594017094	0.47080292	-2.14479638	0.834146341	3.375634518	-1.203791469	-0.03880597	-0.844339623	-0.163461538	-0.606557377	-1.314102564	-0.447098976	1.51372549	-0.303571429	-2.815789474	0.592592593	-1.117117117	-2.092592593	0.326984127	2.542553191	-1.692946058	2.69047619	1.217898833	0.232931727	-1.07751938	-0.04290429	-0.916230366	0.165562914	0.211267606	1.133779264	-2.401913876	-2.593023256	-2.438395415	2.114285714	0.017467249	-1.26541555
Q9P2B4	-1.213636364	0.230188679	0.094262295	-0.928982726	-0.473684211	0.714859438	0.670886076	-0.73556231	0.081168831	0.96	0.98682284	0.742236025	0.853658537	1.442913386	0.495384615	0.208510638	0.272277228	0.682875264	0.339622642	-0.821705426	0.656652361	-1.15920398	1.401360544	-0.669354839	0.975206612	0.065843621	-0.54950495	-0.332103321	1.053941909	-0.311111111	0.507692308	-0.477777778	1.088235294	-0.218855219	0.528776978	0.607142857	1.207964602	-0.34137931	0.875	0.959641256	-0.716738197	1.355140187	0.070080863	0.252	1.058380414	1.516666667	1.117924528	-0.073170732	-0.474747475	0.181818182	0.759776536	1.19872814	0.149193548	0.813229572	0.077205882	1.062043796	0.88034188	0.226277372	1.452488688	-0.234146341	0.126903553	-0.44549763	-0.841791045	-1.009433962	-0.293269231	0.174863388	-1.051282051	-0.453924915	-1.082352941	-0.032142857	1.042105263	-0.104938272	1.355855856	0.49537037	-0.279365079	0.39893617	-1.273858921	-0.133333333	-0.968871595	-0.136546185	0.325581395	0.234323432	0.410994764	-0.456953642	-0.571830986	-0.147157191	-0.66507177	-0.13372093	0.667621777	-0.219047619	-0.449781659	1.332439678
Q7Z7A3	-0.104545455	-0.150943396	-2.881147541	-0.472168906	-0.32388664	-0.726907631	0.46835443	0.252279635	1.493506494	-0.106666667	1.127379209	-1.47515528	-0.402439024	-0.029527559	1.753846154	0.131914894	1.445544554	-1.22832981	-0.259433962	-0.779069767	-0.605150215	0.104477612	0.534013605	-0.967741935	-0.950413223	0.880658436	0.341584158	-1.324723247	0.211618257	-0.111111111	-1.476923077	0.07037037	1.255882353	-0.7003367	0.525179856	-0.513392857	0.415929204	-0.537931034	0.8125	0.452914798	-0.849785408	-0.191588785	-0.727762803	-0.12	2.685499058	0.7875	0.660377358	0.058536585	1.080808081	0.5	1.916201117	0.890302067	-1.794354839	0.490272374	0.073529412	-2.262773723	1.115384615	1.321167883	1.253393665	-0.029268293	-0.045685279	0.345971564	1.823880597	-0.693396226	-0.033653846	0.579234973	0.58974359	-1.027303754	1.180392157	0.417857143	0.568421053	-0.802469136	0.256756757	-2.361111111	-1.806349206	-0.457446809	0.091286307	-0.257142857	1.536964981	-1.18875502	1.748062016	-1.132013201	0.497382199	-1.178807947	-0.850704225	-0.411371237	-0.114832536	-1.404069767	1.042979943	1.533333333	1.069868996	0.104557641
Q2VPK5	-2.718181818	1.566037736	1.389344262	0.387715931	-0.08097166	-0.497991968	0.689873418	0.11550152	0.863636364	-0.076190476	0.067349927	-0.108695652	0.024390244	0.188976378	1.258461538	-0.50212766	0.613861386	-1.088794926	1.141509434	-0.647286822	0.738197425	0.751243781	1.24829932	-0.931451613	0.376033058	-0.102880658	0.603960396	-1.302583026	0.132780083	-0.161111111	-1.733333333	0.011111111	1.508823529	-0.936026936	-0.769784173	0.790178571	-0.305309735	-1.155172414	0.451923077	-0.506726457	-0.115879828	0.570093458	-1.105121294	0.064	1.032015066	0.6625	1.278301887	0.156097561	1.325757576	-0.305194805	0.620111732	1.249602544	-0.935483871	-0.116731518	-0.172794118	0.244525547	0.401709402	1.503649635	1.190045249	-0.614634146	0.725888325	-0.042654028	1.519402985	-0.745283019	-0.985576923	-0.207650273	0.782051282	-1.733788396	1.031372549	-0.817857143	0.836842105	-0.703703704	0.54954955	-1.675925926	-1.942857143	-1.143617021	1.070539419	0.528571429	1.661478599	-1.34939759	0.57751938	0.02970297	0.188481675	-1.556291391	-1.126760563	-1.254180602	0.035885167	0.01744186	1.446991404	-0.061904762	1.768558952	0.292225201
