	TW688	TW689	TW690	TW691	TW692	TW693	TW694	TW695	TW696	TW697	TW698	TW699	TW700	TW701	TW703	TW704	TW705	TW706	TW707	TW708	TW709	TW710	TW711	TW712	TW713	TW714	TW715	TW716	TW717	TW719	TW720	TW721	TW722	TW723	TW724	TW725	TW726	TW727	TW728	TW729	TW730	TW731	TW732	TW733	TW735	TW736	TW737	TW738	TW739	TW740	TW741	TW742	TW743	TW744	TW745
P32929	-0.649809234	NA	-0.300113181	-3.302241194	NA	-1.680423839	NA	-3.17014348	-0.947997803	-2.5931452	-1.858220973	-0.131087222	-3.69089001	-1.634064499	-0.809855924	-1.696093019	-1.283845187	-1.679430028	-0.069659392	-1.187550527	-1.037306499	-0.997820761	-1.081323406	-1.034609776	-0.644377656	-1.479004047	-2.135771006	-3.147000441	-1.454206803	-1.359936672	1.251613842	-1.099646056	0.001997451	-1.403127651	-0.043079649	-2.511275574	-4.023794319	-1.894667674	-1.837868209	-0.72027917	-1.106264618	-0.673256943	-1.277792837	-3.077753822	-0.761182159	-1.794700323	NA	NA	-2.251700254	-1.697779679	-2.923842356	0.51846889	-0.317856875	-0.448280185	-3.296932924
P32969	0.558327709	2.346439259	2.010108888	2.432382749	4.051014637	3.372750994	3.096823206	3.969152959	1.70289946	3.303911258	1.543953383	1.9592603	2.760459548	2.535395588	1.420115984	2.369643801	2.906925149	1.54759775	2.62520081	3.141603532	2.306835407	2.810848913	2.635095641	0.656090637	1.330371423	0.515340451	2.752357821	3.509336117	1.391719216	1.11298787	1.07609764	3.022198025	2.032345013	2.614192308	2.202448811	1.329147804	4.354233205	0.902074658	1.326193211	2.346358631	0.061610722	2.258945244	0.913230751	3.17591138	1.18499503	2.036431561	2.66075592	1.862410915	1.740779889	1.389057747	2.299209901	1.573628894	1.273205359	0.711648732	2.917964823
P33121	-2.258308503	-0.808323291	-1.227685524	1.117775205	0.987860369	-0.506586682	-0.681742212	-0.839075177	-1.029207104	2.006377771	-0.779489683	-0.815934775	2.22784936	0.435112349	-2.776843785	0.111725879	-1.510856453	-0.459678921	0.348349813	-0.492961961	0.347928108	0.407747387	-0.598188145	-1.64750567	-1.206607932	-2.57826725	-0.035707306	-0.904906938	NA	-1.816662978	-2.290215779	0.485808083	-0.131532126	-0.426755706	-0.758601766	-1.981739964	-0.47141393	-1.791808075	0.006297476	-3.288631842	NA	-1.055076759	-3.127239033	-0.244069904	-3.077466376	-2.181071113	1.576091446	0.525909079	-0.713069342	-1.689285263	-0.376958551	-5.268898435	-3.553817924	-3.087463592	-0.701129919
P33151	2.244621417	2.209198242	1.705045929	2.032194028	-0.528525363	-0.656374451	0.561422531	0.108559107	2.870528352	-0.426383606	0.598786191	1.190575505	0.477962472	2.228827361	0.640240768	-0.300524752	0.940647192	2.163227241	0.694632931	-0.166952252	-1.61820134	1.604112388	0.608586933	0.734037274	1.156343084	1.653518999	1.459843279	0.838642053	2.898275103	-0.279552025	1.485491888	0.669675229	1.467858736	-0.029052147	1.350199666	2.50049918	-0.035862931	0.968346931	1.738570374	-0.17248438	3.030469943	2.548847117	2.685078057	1.31436654	0.993223435	3.009180873	0.562364858	2.383327381	2.067079923	1.368251428	0.818274548	0.880449537	1.586845897	0.570520498	0.125508856
P33176	0.748499648	3.70073933	1.400159749	1.172215825	2.115086405	1.933984116	2.471768362	2.873107655	0.327823309	1.695862653	0.998909494	1.543377069	1.903378132	2.372060315	0.694508338	0.915425584	1.440557723	1.942815058	1.286528211	1.422902552	1.665237417	1.642868262	1.273362961	1.512843984	2.286354184	0.109297657	1.369287197	2.050423222	0.73964252	0.434620646	0.263434546	2.649059584	1.250362957	1.85219	1.836968177	1.664902543	2.929506055	1.088644117	1.823925217	1.905566209	0.483173047	1.539328162	1.434935031	2.518234856	0.382646864	1.87795955	1.698135922	3.08086509	1.768771668	1.196827155	1.779134421	0.534199049	0.122146411	0.608686638	1.626994368
P33240	-0.968651838	-0.81035147	-1.547845869	-2.293811018	-4.193778562	-1.181953686	-0.260251061	-2.127457998	0.730727337	-1.551785418	-2.910738476	-0.88638195	-3.209357309	-2.631070778	0.039186463	-2.951972969	-0.393728684	-1.771694832	-0.734147196	-1.796473148	-1.706174255	-1.129080074	-1.8013371	-2.897856321	-0.730942249	-2.168579307	-1.7930338	-0.746300487	0.745410491	-2.450175441	-0.721325999	-2.473910376	-1.880988597	-1.934696612	-1.994096596	-0.610034565	NA	-1.892569469	-0.814104403	1.239589992	-0.7100947	-1.250893119	-1.375356194	-1.051912169	-2.418815358	0.71656618	-1.385144471	-2.009700668	-1.785070969	-2.891037525	-1.004352953	-0.227967307	-2.105579636	-2.800655123	-0.619795041
P33241	0.069967333	0.803118253	-2.067704542	1.900991526	-1.330194313	0.602993129	1.400605107	-0.592259808	2.65457156	1.230364034	-1.793087198	1.129136642	-0.007887937	0.431262509	2.797248063	-1.891094552	-0.375381178	1.398090108	0.00549171	-2.191852868	-3.047844859	1.550544671	-0.329814237	-0.612380156	0.251099691	-0.599898586	-0.015711909	-2.288387167	3.344737533	-0.4121397	3.534894225	-0.676309163	-1.134823231	-2.116751889	0.053121552	3.453195758	-2.65794326	-2.05736539	1.056970266	0.803680204	2.692431698	1.761567913	1.406770521	3.413588789	1.014364613	-0.653603831	-1.27098081	0.440797728	-0.943674671	-1.797841526	2.56877268	1.97846307	1.01589388	-3.648173703	0.070149889
P33316	1.267378841	1.461488413	-0.185527831	-1.399765375	-1.763636635	0.134784564	0.898782177	-1.228864036	0.376829679	-0.948537351	0.127477797	0.461058368	-2.630534774	-1.804798938	1.202810514	-0.326335376	-0.378508671	-0.389653225	0.327986296	-0.891530031	-0.255292031	-0.135644777	0.162771823	0.011058131	-0.46309	0.430547353	0.007243437	1.51145372	0.722345174	0.191327538	0.91152901	-1.847989414	-0.472806729	0.083095893	0.909018528	-0.376748664	-1.314046747	0.5806122	-0.215891738	0.335983457	1.470226426	-0.279206944	1.133094454	-0.659943711	0.237993781	0.899052009	0.053756582	0.528196771	-0.605479811	0.489879811	0.255382957	1.554522392	0.52025193	0.055597741	1.165297987
P33527	-3.565470686	-0.640646981	-3.04703172	0.202520392	-0.765386106	-1.264660937	-2.502582971	-3.584318396	-2.132551253	-1.14026102	-3.21815437	-1.655193423	-1.256960608	-2.213449159	-1.652226421	-2.374212912	-2.616639005	-2.857185159	-1.452371517	-1.225215919	-3.194460383	-0.751599864	-2.416429605	-2.920839037	-3.939610379	NA	-1.497213056	-2.809167774	-2.52689342	-1.939537359	-2.98596527	-2.248878026	-3.303829922	-2.721295578	-2.518210156	-3.709072096	-1.853505854	-2.75391085	-1.10310578	-4.201286691	NA	-2.296407591	NA	-1.566405438	-3.096586068	-2.391144203	-1.63846752	-2.899996346	-2.359008871	-2.849269223	-2.439668817	-2.356674551	NA	-2.633990055	-2.537370862
P34059	-2.543167284	-0.360677252	-2.083766999	0.048319928	-0.967754896	-2.298291715	-1.819883311	-0.402333272	-1.261733789	-0.087087362	-3.067650103	-0.131888483	-0.110553673	-0.567111988	-1.102057439	-3.171415273	-0.0001531	-1.101751966	-1.139654561	-1.337771137	-2.761349979	-1.4897729	-2.387456948	-3.253414784	-2.081416727	-4.427175334	-1.612120555	-0.914356907	-0.815407067	-2.687149252	-2.130782773	-0.483262544	-1.777461098	-2.62845946	-2.36232036	-1.787153189	-1.409378451	-2.363775826	-2.416389369	-0.052579609	-2.40681251	-1.106593154	-2.60842948	-1.035069064	-2.307372269	-0.974495164	-1.483894338	-0.239821861	-1.927214764	-3.276376825	-0.875625352	-0.932790949	-2.93674958	-2.931430573	-0.895985425
