	TW688	TW689	TW690	TW691	TW692	TW693	TW694	TW695	TW696	TW697	TW698	TW699	TW700	TW701	TW703	TW704	TW705	TW706	TW707	TW708	TW709	TW710	TW711	TW712	TW713	TW714	TW715	TW716	TW717	TW719	TW720	TW721	TW722	TW723	TW724	TW725	TW726	TW727	TW728	TW729	TW730	TW731	TW732	TW733	TW735	TW736	TW737	TW738	TW739	TW740	TW741	TW742	TW743	TW744	TW745
A0A075B6J9	-3.54596182	-0.838534189	-3.591967973	-0.12696105	NA	NA	-2.88329901	0.388117679	0.008837569	-2.034318649	-1.988231238	NA	0.406926943	-0.659468221	-3.729568606	NA	-1.093649979	0.042851557	-4.535632274	-4.606489081	NA	-1.72186129	-2.796956433	-1.83411446	-4.757423653	-2.257643708	-2.218662074	-1.153748276	-2.492152929	-5.962078808	0.157491794	0.258495454	0.285713643	-2.525902734	-3.373035063	-3.998884009	-3.2991865	NA	-1.660080754	NA	0.78356798	-1.942615243	-5.071368421	-3.344290162	-4.862546292	-1.025819289	-1.516946776	-2.183997985	-1.22499896	NA	-2.012495384	NA	-1.98599214	-3.974703998	0.18013137
A0A075B6K5	1.687517565	1.156446315	0.177175748	2.962884703	0.842039741	0.098725501	-1.155855715	1.911908836	1.013684765	1.107514046	0.218357451	2.060297078	2.769010788	2.202205071	-0.572601212	-0.609558734	1.092277797	1.267095777	-2.34900526	-0.04172014	-1.314668312	0.99335107	-0.558770666	-0.752674005	-0.134462538	0.360228275	2.942845434	2.542970396	1.129687224	-1.378290665	0.633644856	1.737911191	1.539616703	-0.986266565	0.669140769	0.089878101	1.904172008	-1.867509092	-0.015923977	-0.047814281	0.733561814	1.800739766	1.739436814	2.131419409	NA	2.377943542	1.265672823	2.279118771	1.697995462	-3.304561266	2.258878561	-1.983921315	1.06206611	NA	1.583932065
A0A075B6S2	-0.029773287	0.331180812	NA	0.289082338	-1.96512106	-1.831776717	-1.193762639	-1.518194394	1.22134727	-0.576282207	NA	-0.578121279	2.710531281	0.320835442	-2.258556342	-3.475051196	0.143868274	-0.889060958	-1.07221535	-3.031138444	NA	-2.022801828	-2.831946917	-0.25951577	-2.564553711	-0.214034145	1.031710533	0.264057625	-0.653246169	NA	-3.579956408	1.388650593	-0.320547597	NA	-2.496463013	-0.714085967	-1.277032535	-5.30517639	-2.210523887	-1.184501063	1.667410214	0.709778505	1.211832583	NA	NA	1.3661141	-1.360607822	0.563438232	0.786520121	-4.127496767	NA	NA	-2.803920397	NA	0.827497854
A0A096LPH7;P48553	-1.65686335	-3.296269873	-2.578464564	-2.008143328	-1.917272621	NA	-2.464594057	-2.34254194	NA	-1.961649139	-1.251205803	-2.636310741	-1.485839944	-2.559358385	NA	-0.904013717	-3.284645448	-2.246884695	-2.342086298	-1.930906587	-1.270357193	-2.739427402	-1.756932062	-0.890006459	-1.507845478	-1.601016565	-2.876008656	-1.806468213	-3.31562653	-1.17940597	NA	-2.418242988	-2.09980458	-1.23764577	-2.377421558	-2.512741066	-3.011035352	-1.394432358	-1.458382611	-2.583967205	NA	NA	-2.281963475	-3.034817233	-1.862095689	-4.792508426	-1.878501147	NA	-1.414449024	-1.466840915	-2.330058095	-3.287492668	-2.171971136	-0.775618758	-1.38316272
A0A0A0MS15	2.194254885	2.531610389	1.747783686	3.955648011	1.677075389	0.605103547	1.197052207	2.905659567	3.001804166	1.818609119	2.293583252	3.311870373	4.76681267	2.291895005	-0.136359982	0.564655191	2.617935041	1.940445021	0.879235034	1.563862434	-0.642132525	2.02950338	0.024375335	0.076688496	0.444831549	0.533432722	2.789681318	3.683072236	-0.780225703	NA	0.19097609	3.122186678	2.06774174	0.491801779	1.725969283	0.736488012	2.513338476	-0.925339104	0.087758591	0.369704185	3.003298987	2.601931563	2.507277004	2.908001529	-2.795419327	3.962266849	2.235055513	1.654643459	2.09756411	-0.744319054	3.50931514	1.246398328	0.164880838	-2.176912618	3.873659553
A0A0B4J1V0	-0.522664002	0.082816512	-0.931642255	1.061481046	-0.644466206	-5.120454577	-4.133738737	2.647326338	1.429034875	-0.415224329	-1.854626175	-0.330927372	4.112605493	1.585386671	3.125033556	-1.672632707	-2.579581072	-0.142928701	-1.496045317	-1.56928558	NA	-1.516762578	-0.87107713	NA	-1.770973818	-4.696536151	1.192115753	-0.245481041	-0.821691869	NA	-1.16672703	0.958465349	-0.749468569	-0.997585049	-1.132397767	0.136600846	-0.790375509	-4.05701955	-2.978891356	-2.28006545	1.353785924	-1.756351411	-0.751455463	0.243224878	NA	1.84280485	-1.376254765	0.530829236	-0.799695485	-2.033715683	-1.01186084	-4.102331422	-1.964793515	-1.529871147	-0.191293864
A0A0B4J1V2	-3.861279675	-2.188545788	-4.829191893	-1.082700111	-3.399460908	-3.71378897	NA	-0.866777075	-3.267664167	-2.450342434	-3.383143243	-2.089473471	-0.366591329	-1.239258454	-3.789391526	-4.699589236	-5.186466625	-1.932634028	-5.010579628	-3.988615656	-4.988704646	-2.783986337	-5.473521813	-5.124928482	NA	-5.044898451	-0.725403245	-1.790815721	-4.327892444	NA	-1.513138719	-1.937964828	-5.102985295	-4.48893559	-3.147695766	-5.578526951	NA	NA	-6.234642732	-5.115381116	-1.378748994	-1.226605654	-2.291861561	-2.278413303	NA	-1.633617516	-2.706367714	-1.802925889	-1.618945997	NA	-1.819344479	NA	-1.833037399	NA	-1.529294976
A0A0C4DH24	-0.323907161	-0.344278936	0.160989112	0.273480006	0.115854603	-1.53063989	-2.709827242	0.052779484	0.820841763	-0.703448484	-1.134878444	-0.658175314	1.949204767	-0.725045359	NA	-1.584384441	-1.994259585	0.376240743	-5.294297733	-1.54355639	-5.887337461	-1.332167504	-1.76159814	-1.198289226	-1.926636486	-1.226571565	1.334678266	0.06650359	NA	-4.09403017	-1.002831693	-0.157945007	0.027179898	-3.057577375	-0.899261878	-3.090917843	-0.872041417	-2.796241945	0.714372391	-2.515230404	0.748540595	-0.541055834	1.825622175	0.101109807	-2.576002158	1.646911728	0.901505611	0.71971592	-0.29276334	-2.247013168	0.415572834	-4.773070796	-2.417539478	NA	-0.445020895
A0A0C4DH25	3.38739656	3.433035674	1.556851892	4.792414773	2.648881316	1.685133978	0.858250622	NA	3.353490483	2.59087928	2.447054191	3.301138641	5.14191434	3.855273307	1.264968589	1.115641322	2.415105959	3.70800238	1.442945912	1.723142902	NA	2.5262371	1.516243047	1.619598609	1.564194015	2.343171491	3.83684763	3.829505116	NA	0.345760814	2.681936231	4.034973895	3.930142097	1.465009894	1.428494048	1.937840464	3.23520114	-0.592569777	2.026671891	1.077357306	4.265645271	3.563110208	4.232499602	2.056140689	NA	4.563370546	2.600777392	3.786080584	4.292308646	-0.162769147	3.404316308	0.953180008	1.401256497	NA	3.806488678
A0A0C4DH36	0.069337239	-0.18375299	-1.637177159	1.4052034	-0.898376363	-0.729422636	-1.866451337	1.468272968	-1.067971595	0.083546502	-1.263813999	0.578632729	2.282958472	-0.854879087	-0.658126415	-1.825693437	-0.141634877	-0.038011787	-1.785636027	-0.385831938	-3.607903575	-0.453407607	-2.253368226	-0.477835397	-1.262917896	-1.252818814	1.540540316	1.247193738	0.108367104	-3.361722762	0.341527817	1.810190745	0.872301892	-1.858790492	-0.305887346	-0.673957238	0.170302963	-3.027462843	-0.89889657	-1.402493849	1.053833731	0.900281758	0.09561473	0.246791368	-4.675325338	1.862171471	-1.223031447	0.16939086	0.805054843	-4.349114983	-0.074147702	-5.583092878	-0.599752112	NA	0.411979628
A0A0C4DH38	-0.159225443	0.410546537	-1.797575476	1.874392192	0.544468077	-1.090265111	-1.537428044	0.125223854	1.333654039	-0.110343534	-0.869908679	0.568379754	2.794355882	1.842051486	NA	-1.252118233	-0.263529113	-0.61071285	-2.244362309	-1.1291124	NA	-0.530699207	-1.487293785	-2.195571315	-1.950683871	-0.24764888	1.780645035	1.397316462	-1.814443368	NA	0.218942344	0.102129018	0.227834813	-1.600576917	-0.505587282	-1.21342564	-3.645778338	NA	-2.427075919	-1.563028304	0.977405861	0.953700765	0.665848868	-0.04143316	NA	1.140640374	-0.148897216	0.331563972	1.449513371	NA	0.598663236	-1.611304003	-1.019835644	NA	0.982544655
A0A0G2JMH6;P01903	-2.203337866	1.572689219	0.912240878	3.989307965	-0.202555334	1.373677283	0.398498265	-2.925220758	3.93371258	3.493053961	-3.123078044	-0.045275995	-0.209610691	2.379592237	-0.244655281	-1.875862934	2.190202992	1.853534873	0.531402781	-0.178594741	-1.14148267	1.679040564	-1.133886142	-4.109112338	-2.492846605	-2.00175121	0.871474342	-1.350098299	2.043419717	-1.409168196	3.454850413	-1.933730641	0.966628321	1.763994345	0.484885588	1.707535875	-3.42614036	-5.014039421	1.920826165	-0.212807069	-0.482103416	-0.427831492	-0.378073031	0.989266398	-2.326474824	2.610005631	4.357445404	1.403348636	0.28429088	-4.66268522	0.98408548	0.713700472	-3.333369775	-4.410135617	-0.224021691
A0A0J9YX35	0.230765684	0.651695116	-0.48332475	1.921143284	NA	-0.678108277	-1.882691046	1.421245415	-0.718732509	-0.26487609	0.082007311	1.572581916	3.00318073	0.487966117	-2.39042955	-1.270053624	0.293061011	0.675557271	-1.866254536	-1.440097505	-3.148152342	0.81458234	-0.143925016	-0.885011748	-2.49152235	-1.205804373	1.647979938	1.707265013	0.207243508	-4.255677709	-0.744543044	1.649751208	1.103601478	-1.441882758	-0.377855424	NA	0.337534193	NA	-1.561493119	-4.779795235	1.327755446	0.047879167	1.115583027	0.851126267	NA	2.418398641	-0.827130971	1.145537125	1.046189347	NA	-0.107523134	-5.196799188	0.179406415	NA	0.877380164
A0A1B0GUL7;P36507	0.370029951	NA	0.071319591	NA	0.820614563	0.084252974	-0.07369933	NA	-0.698540042	0.030291374	0.710342544	-0.148463838	NA	NA	-1.795702872	0.965194871	0.486614132	0.461218625	0.4710355	1.200606728	0.80433113	0.979108303	-0.005020364	0.907744237	0.932884566	0.710959535	-0.166287539	0.931772915	NA	0.150090037	-0.152874259	0	0.572678781	0.847039847	-0.404703925	0.182269527	0.793439223	0.011803709	-0.371784156	-1.001063342	1.121518958	-0.638427313	1.027731548	NA	-1.180321878	-1.087008214	-0.454408911	NA	0.346005995	-0.512318727	0.445176688	0.636046767	-0.101518599	0.446861267	0.792444259
A0A590UK10;Q6ZSZ5	NA	-3.228500515	-4.363716062	NA	-3.755167583	-2.960958586	-2.47391983	-1.853445656	NA	-2.216201119	-2.901324043	-2.555391391	-1.947439739	-2.282137491	-2.255236509	-2.983713173	-2.071133577	-1.683341599	-2.694906746	-2.993648983	-2.264181241	-2.074691043	-2.989430464	-1.88660839	-1.687720679	-2.000017215	NA	-2.364927537	NA	-3.194746786	-3.306978031	-2.706584791	-4.097231471	-2.561997314	-3.727897492	-2.267047374	-1.727755316	-1.602588036	-3.328044933	-1.788425781	NA	-1.296593825	-3.451877581	-1.055786139	-1.744807124	-3.28448053	-3.341775906	NA	NA	-2.963025305	-2.561836595	-2.448795056	NA	-2.174829281	-2.688682011
A0AVT1	0.237560831	1.042297231	0.698984127	1.181129861	2.229356076	1.981372349	1.877720259	1.748735419	-0.240940062	1.841971917	0.496277071	1.098843482	2.13455923	1.03591452	1.006943278	0.918615695	0.996084766	1.031379573	1.461230085	1.612902318	1.570737302	1.844701601	0.708746393	1.038099521	1.67929131	0.438582485	1.439254574	1.17850901	-0.363806917	0.917409526	-0.12608397	1.404321227	0.959082746	1.267754078	0.746430714	1.611141905	1.91587028	0.377744716	1.764003197	1.737309119	-0.493404122	0.793297001	0.47140456	0.686593897	-0.054373867	0.640504375	1.674658067	1.361135	1.054107731	0.108444293	1.497441426	0.64769042	-0.393861625	1.002142613	2.121478271
A0FGR8	-0.531089599	-0.602036023	0.518483805	-0.219819871	1.251029746	0.546897431	-0.40275865	0.060888174	-2.111927948	0.403143103	0.842968082	-0.099114729	0.939544867	0.010481563	-0.399888734	1.185575883	0.31935845	-0.652852902	0.426263892	0.545855948	0.785531487	1.315662468	0.414322903	0.116668998	-0.950229024	-0.450613209	0.917478973	-0.147769032	-3.061301206	0.544745703	-1.961858673	0.608643675	0.705651077	0.545042865	0.16571349	-1.935120994	0.734254082	0.242608614	0.212326794	-0.848132095	NA	0.068596999	-1.572746256	-0.19268252	0.099055487	-1.48297889	0.36303806	-0.368533206	0.346192676	0.137443154	0.355215956	-0.95086727	-0.259710834	0.363467563	-1.288185838
A0JNW5	-0.707147713	-2.752064985	-2.718056159	-3.912989904	-1.665824023	-1.883544652	-2.566966768	-2.247548354	NA	-2.323040797	-0.761753583	-2.01217464	-2.983660614	NA	-2.548754405	-0.518904191	-2.482176288	-1.695525405	-2.487969712	-1.645929724	-1.338234351	-2.421763441	-1.295623302	-0.484745909	-1.474546833	-0.622998752	-2.063925309	-0.782920027	-3.495593576	-0.376375879	-1.926744508	NA	-1.814831438	-1.124743107	-1.359110511	-1.411442543	-0.788013892	0.159572861	-2.120966026	-1.12094371	-2.574371449	-2.614971104	-2.436361566	-2.334444602	0.102690431	-1.398686916	-2.107138749	NA	-2.469415084	-0.33516433	-2.83587565	-1.845824904	-0.844296427	-0.195051528	-1.68244327
A0MZ66	1.626257693	1.743290473	0.473898839	-0.71260447	-0.784497641	0.30879488	1.817134907	-1.382386187	1.32665433	0.551455693	1.693017299	1.343738849	-1.085204948	0.080205623	0.364321518	1.386024898	-0.978679581	2.18695433	0.337078777	0.3059756	1.229033781	-0.238714056	0.73365689	1.85635561	2.093191489	1.411842097	-0.052107756	0.509122931	1.063468107	1.182108607	1.824365774	-0.90769566	1.19125066	0.0426119	0.123987452	1.508887743	-0.411530704	1.640157529	1.789992614	-0.774844073	1.464137588	-0.377125553	2.51136405	0.558909398	1.11563674	1.001889843	0.932098877	1.261960329	2.440984469	1.455822867	0.810430279	1.680345402	0.610712323	1.59641657	0.54843473
A1A5C7	0.550810903	-1.624171413	-0.439229051	-1.205188207	-2.138248217	-1.254802562	-3.064084339	-2.366100258	-2.435142532	-1.398770136	0.75568917	-1.783551258	-1.976076392	-1.324623632	-4.503660084	0.513520461	-3.341993512	-1.31142688	-2.473751228	-0.657025106	-0.385618697	-0.598124095	0.503191533	0.441925952	-1.952605359	0.465303901	-1.000816204	-3.096284523	-2.661213863	1.184305953	-1.474117489	-2.108009451	-0.044390471	0.175779229	-0.096997431	-3.536889084	NA	1.149042641	-2.275052614	-3.287399085	NA	-1.519392339	-1.367989712	0.065874662	1.669951534	-1.517127609	-2.605798115	-2.803422073	-1.897577195	1.319329783	-1.969045759	-2.016651716	1.153866227	-0.115709317	-2.530575515
A1L0T0	-1.75086844	-0.79043433	0.292777295	-0.213473262	0.806332378	-0.440512514	-1.06223144	-0.049253403	-1.057246832	0.392191372	-0.686697177	-0.331272432	-0.016362602	-0.325051405	0.066456973	-0.023935865	-0.460955611	-0.434124349	0.691619795	0.365159353	0.187637463	1.211448393	0.047860346	-1.050668571	-0.44943632	-1.789982851	0.144218836	-0.096947146	-1.698429079	-0.74828435	-2.042891255	1.131699498	-0.035951339	0.055046213	-0.347157043	-2.712124751	0.668819331	-0.946725987	0.727127022	-0.728615685	NA	-0.33764475	-2.320223455	-1.466993173	-1.655541836	-1.01178432	0.604893364	-0.570626766	-0.051413061	-1.266904392	-0.121711179	-0.110043366	-1.53657104	-1.527472741	-0.838295232
A1X283	-2.131579707	0.052577092	-0.047057289	-1.471829766	0.840563217	1.828470609	1.855071817	1.57821289	-0.564333177	0.50727401	-2.686551519	-0.496025346	-0.150207089	-0.143750455	0.420870127	-2.363561922	1.358910027	-0.308880103	-0.29055839	1.743893071	0.716683322	0.606881976	0.316919935	-0.652724172	-0.503209981	NA	0.619573546	1.071859224	-1.466406332	-1.909255538	-2.172998682	1.117208779	-0.833319068	0.457902886	-0.210902997	0.339895978	0.600774187	-2.472454083	0.386125594	0.627065781	-1.264602071	0.050302187	-1.225747373	0.660290161	-1.563355888	0.286933204	-0.197468166	0.540783835	-0.004705964	-1.661345086	1.100756471	-1.322709185	-4.134929144	-1.828356693	0.435015541
A2RRP1	NA	-3.060007549	-1.604333664	-1.693321978	-0.219805207	-1.315602188	-1.136307013	-1.19587218	-3.186114984	-0.420071203	-2.040601946	-1.892697966	-0.528710718	-1.980072909	-2.385251233	-1.429412668	-1.451637252	-2.279626257	-1.36153537	-0.801004235	-1.106004299	-0.679531284	-2.094118496	-2.344734877	-1.756986706	-3.894935975	-0.659951989	-1.551753637	NA	-2.475831715	NA	-0.327094164	-1.838133671	-1.280267165	-2.088655989	-3.067298214	0.132380838	-4.503906233	-1.131844371	-2.613622413	NA	-1.710782454	-2.811342261	-2.215121316	-3.137924462	-2.850646077	-1.196322921	-2.286759056	-1.839809257	-3.404333211	-1.400512374	-4.168643157	NA	-2.846160673	-1.862625128
A2RTX5	-1.14069818	-2.590459214	-0.412390591	-3.305129086	-0.049741046	-0.726389715	-0.693142063	1.018381045	NA	-1.057091136	-0.702669449	0.262377661	-0.88134476	-1.213424255	-1.003900902	-0.273548838	-0.239096146	-0.458699728	-0.551578896	0.450886252	-0.13507467	0.182291135	-1.351309951	0.108744855	0.24473737	-1.543139292	-0.082147488	0.180331013	NA	-0.523664784	-1.594693612	0.000377689	0.073393915	0.059530447	-0.443146304	-0.644342858	0.088333578	-1.12226412	0.255370183	-0.488575639	-0.421692853	-1.986232774	-0.925599498	-1.675340419	-1.468494108	-0.302968151	-0.919108629	-0.67652161	-0.251900859	-1.389386191	0.407613104	-1.498950861	-2.075869649	-0.24313248	-0.297685097
A2RU67	-0.708664582	-0.940281516	-2.255595265	-1.787389901	-0.723427362	-1.418078415	-2.513843208	-2.124862312	-3.641453778	-2.273282302	0.333435704	-1.397866331	-2.80404615	-2.406156145	-2.558180175	-0.57030569	-1.735070748	-2.702536691	-3.312438754	-2.264484494	-2.224821134	-2.951207325	-1.063054497	0.395448845	-1.927036976	0.192684527	-2.422920224	-2.757532309	-2.94802086	0.035277541	-3.580953484	-0.758686956	-0.805444041	-1.581343298	-1.330800963	-2.020988191	-2.809634371	0.658384905	-3.097459957	-1.998592769	-4.942041216	-2.138096983	-3.176580704	-1.615868179	0.070772841	-1.657778713	-3.768849143	-2.121616513	-2.658049061	0.55483994	-2.628273907	-3.105305138	-0.079541375	-0.321020381	-3.060149659
A4D126	-1.133013483	NA	-1.959501316	NA	-3.149857547	NA	-2.085687526	NA	NA	-3.084798557	-1.489005124	-0.706528826	NA	NA	-2.184086839	-1.35571243	-2.252544072	-1.865157939	-1.669582778	-3.352697418	-1.442301906	-2.657374545	-2.231061747	-0.939156097	-1.321716798	-0.778391464	-1.53707708	-2.345275968	NA	-1.102737759	-0.975974546	-2.543012553	-1.218524012	-0.944468687	-2.124826009	-0.731694156	-3.155692403	-1.031353012	-0.833649312	-1.703532316	-1.599981859	NA	-1.346595595	-2.118280474	-0.8455331	-3.782196098	-1.864934248	-2.493910959	-2.314425336	-1.501151987	-2.365966626	-0.00364643	-0.889641918	-1.394094605	-2.393893202
A4D1P6	-0.526841653	-1.091919214	-0.334086743	-1.019295318	-0.334500513	-1.373713238	-0.066389096	-1.672281731	-1.359736189	-0.274512346	-0.788774148	-0.579140273	-0.669236282	-0.635927469	-1.7443321	-1.324613424	-0.33737345	-0.464014653	-0.209043079	-0.035294843	-0.059139711	0.304594628	-1.714840816	-0.240840954	0.430265586	-1.211238059	-0.730854478	-1.024438119	-2.095233871	-0.944088874	-1.190157765	-1.805139363	-0.273864399	-0.489899812	-0.756761025	-0.269378885	-0.522476508	-1.201163254	0.059385027	-0.973679042	-1.725196539	-0.656741099	-2.041796542	-0.430002795	-0.970233386	-1.059569387	0.5643405	-0.620723971	-0.278363914	-1.47790343	0.365039096	-0.846580155	-1.746605214	-1.001920912	-0.554084273
A5D8V6	-1.660685146	-1.108419923	-2.333981157	-3.034392686	-2.053537189	-1.700022703	-2.711675913	-2.384464205	-1.540461585	-2.972196498	-1.656915693	-2.171221638	-3.124654055	-1.423610075	-2.620746988	-3.105352891	-2.894901594	-1.897104802	-2.338054568	-2.880831259	-2.0720025	-2.502633441	-2.652003488	-1.343604762	-2.144043639	-1.724477082	-1.656710179	-3.822838861	-3.12832007	-2.468246163	-2.022003456	-2.434503654	-1.922821754	-3.105070878	-2.019326809	-1.779693713	-3.582590248	-2.035832476	-1.836867881	-1.941152981	-1.207225525	-2.1371015	-1.366606416	-2.434172512	-2.404888663	NA	-1.861249155	-2.122399724	-1.459370409	-2.076105881	-2.098711367	-2.969261078	-3.265734562	-3.133985233	-2.191542893
A5PLN9	-3.24866411	-3.024627558	-3.455105263	NA	-1.697904768	-2.94768558	-2.132688274	-1.312788597	NA	-3.208774945	-2.574252244	-2.345259089	-1.780450151	-2.726654635	-4.186186226	-2.352559825	-2.700191827	-4.085133853	-1.939572453	-2.465013731	-2.152169573	-2.7553276	-2.601109231	-2.477343198	-1.872941978	-3.294799271	-2.461682433	-2.353593376	NA	-2.214401521	NA	-2.048562476	-2.283145488	-1.977247121	-2.791646851	-2.724721133	-1.535328926	-2.645282262	-2.150425786	-3.802418277	NA	-3.514167935	-3.549248215	NA	-2.609134874	-2.942386153	-2.841848962	NA	-2.845822934	-2.228165556	-2.242737705	NA	-3.607900069	-2.209313663	-2.206248494
A5YKK6	-3.152460695	-0.295664782	-1.23723555	-1.390674082	0.261497765	-0.378292399	0.575038572	-0.230389918	-2.286600009	-0.12250519	-2.02855182	-1.372553488	-0.125619849	-1.203143061	-1.745449372	-1.298493514	-0.710734929	-2.08672897	-0.70466914	-0.550480663	-0.441850311	-0.288897715	-1.984336543	-1.645169631	-0.739240887	-3.42822812	-1.03856923	0.433280912	-2.943624997	-1.839043189	-3.485127676	-0.099296541	-1.403660329	-0.640331617	-1.685606423	-1.185238726	1.300171845	-3.230152431	-0.923838628	-0.736045039	NA	-1.294699569	-3.770069927	-1.255266096	-2.99276498	-1.595061156	-0.594275712	-1.539004924	-2.021583368	-2.662624046	-0.957962798	-2.581031416	-3.787554954	-2.108076408	0.558391257
A5YM72	-1.851947269	-4.095604057	-2.955792961	NA	-1.57140399	NA	-1.660691112	NA	NA	-2.453159735	-0.903710377	-0.73463346	-4.787945074	-1.931389725	-3.746798374	-3.937131824	-5.239230146	-0.037814158	-6.491558853	-4.711205666	-1.584056288	NA	-3.649222385	0.129505149	0.846470318	-0.656020734	NA	-4.514932164	NA	-1.64216512	-2.427609285	-3.53794533	-2.380914126	-6.014530337	-3.272243318	-0.525174186	-3.983438466	-0.338980892	-0.107938364	NA	-3.234644762	NA	-1.656168664	NA	-2.742931156	-3.324473295	-2.971063754	-0.338763353	-0.034313945	-1.746405619	-1.069475205	-1.663719718	-3.350614568	0.110642589	-3.312697006
A6NCS6	-3.189475321	-6.157269273	-1.548218843	NA	-2.184948887	-3.364321893	-3.483420604	-2.749380701	-3.071341882	-4.527865906	-2.452622626	-1.956011959	-4.003569439	-3.474294593	-1.959000032	-4.60884277	-0.929219275	-2.032706142	-2.567642912	-1.26614797	-0.875483194	-1.271348207	-1.185436945	-3.555239056	-2.652606606	-3.386091101	-2.949565147	-2.104900944	-2.455580145	-2.053956349	-3.460174361	-2.503424691	-1.663749734	-0.52675787	-1.441368061	-1.777926073	-4.864103213	-2.425573493	-2.670294443	-1.789273748	-3.902014181	-2.274930498	-2.26124414	-2.542051361	-3.750332743	-2.251559666	-2.795735185	-5.073898074	-3.540700301	-4.096378917	-2.854054383	-2.385955208	-4.205509912	-4.018754332	-2.516031842
A6NDG6	2.296587171	0.585209938	0.214545543	-0.25081258	0.330368752	-0.399978318	0.9538253	-0.279325387	NA	0.625508313	2.244420954	1.431829332	0.774255095	0.680420693	-0.114566852	1.95386675	0.282720035	1.084434908	-0.506739528	0.132633939	1.500672712	0.046951878	1.177575245	1.94741216	1.635819336	2.574495467	-0.386397659	1.746973357	0.868215064	1.663271119	1.183886844	-0.062247345	1.397907702	0.583665862	1.154414979	1.333448449	-0.904713716	1.79345342	0.468662125	-0.130337325	1.888636624	-0.110094408	2.411657347	-0.370271117	0.709204413	-0.018617355	-0.075737473	-2.218553266	1.85203983	1.312811104	0.73380398	1.186561708	1.083145564	1.49499503	1.467769648
A6NDU8	-2.828624228	-2.867853344	-1.888573533	NA	-0.739900603	-0.812307697	-0.957058459	-0.344019731	NA	-1.454014434	-2.213319978	-2.141805782	-1.803338756	-2.068606527	-2.151622981	-1.906825069	-1.672680621	-2.349560403	-1.238209259	-0.81135815	-0.9744413	-1.392864169	-2.442829578	-1.73846226	-0.955721895	-2.289803121	-2.208041659	-1.034841875	NA	-2.566333224	-3.386781707	-0.893330771	-1.954158532	-0.994019396	-2.23608617	-1.067129643	-0.13918497	-2.154927377	-1.265400144	-1.282038587	-2.354566244	-2.440746599	-1.971966667	-1.565766369	-2.402206163	-2.005048264	-2.807676735	-1.273266174	-1.319989418	-2.703028351	-1.360525212	-2.227494533	-3.163119452	-1.541903387	-1.122640414
A6NE02	0.98556244	-3.38903887	-1.252736772	NA	-2.682856733	-2.769637953	-3.674427226	NA	NA	NA	0.911219789	-0.967650178	-4.47484605	-3.43239223	NA	-0.246922749	0.318197068	-2.768304007	-0.358916602	-2.557270232	0.765070828	-2.143003864	0.991629727	0.124429758	1.367635553	1.229643224	-0.126290371	0.358061518	-2.759012206	0.627774584	0.003432026	-1.687233459	4.64648462	3.38007439	0.828870501	0.350498519	-3.432941549	-1.602456501	NA	0.240611084	0.526030197	-1.890338048	0.434680898	NA	-2.12154083	-0.123635765	NA	-2.893128655	-1.409785382	-3.185186304	NA	-0.961319691	0.160947573	0.839743228	-3.689805416
A6NHL2	3.873651323	1.991774694	2.166885404	1.741378028	1.996492899	2.296708425	2.840519338	-0.479723065	1.720004772	1.155644106	3.673251851	3.43746743	1.964226552	1.926587456	1.834463494	3.364133542	1.788749084	3.691005921	1.646342266	2.280145061	3.581268129	1.823102735	3.295514347	2.876310089	3.255942931	3.237693941	2.119318071	2.980365984	0.814201396	2.628125144	2.445874608	1.55896436	3.537331566	2.510496712	2.118241273	2.681617595	3.375549444	3.332566598	2.057094837	1.273664379	3.619453627	2.270804664	4.444284657	-0.440669454	1.533275272	3.064990594	0.466865174	1.963084347	4.276845398	3.256444433	2.82567877	2.930687473	1.536771311	1.205566786	2.773404604
A6NHX0	-0.476720598	-1.878024674	-2.534581881	NA	NA	-2.611887325	-2.83971019	-3.415055398	-2.980556115	NA	-0.325800035	-0.820913052	-2.074234747	NA	-1.952498447	-0.320570907	NA	-0.925970657	-1.86046003	-0.856938166	-0.889373747	-2.060506668	-1.213229424	-0.204789589	-0.632719258	-0.644672768	NA	-0.361160978	-2.38616423	-0.35771173	-0.913949951	NA	-1.407213645	-1.008616106	-1.524668774	-0.985015976	NA	-1.070492324	-1.565714541	-1.559456931	-1.402825281	-1.589258725	-0.384510271	NA	-0.768371686	-1.999654096	-2.373122201	NA	-0.863683322	-0.829696828	-1.980011633	-0.823428956	-0.460437404	-0.66777141	-0.463219628
A6NIH7	-1.97715598	-2.428345691	-0.740234136	-1.411573564	-0.146939471	-0.582491214	0.004847342	-0.036155141	-2.345788193	-0.907616473	-1.644160454	-1.388290853	-0.708209945	-1.315557309	-0.764132194	-2.370754492	-0.055363948	-1.445976335	-0.202682747	-0.279934848	-0.314600486	0.286755202	-0.797220589	-2.434941744	-0.773052297	-2.492196532	-0.62168281	-0.535318532	-1.126385481	-2.058272479	-1.641538847	-2.926230451	-1.011586603	-0.337697447	-0.816858423	-0.790738055	-1.035281244	-2.35833629	-0.649776197	0.386332527	-1.887385782	-0.813773357	-2.303876806	-0.630929182	-3.104773376	-0.706172259	-0.447214396	-1.902882461	-2.39521312	-2.23657934	-0.600376109	-0.643650329	-3.217831848	-2.322054914	-0.378692766
